object_id,redshift,log_likelihood,chi2,chi2_red,mass,mass_err_lower,mass_err_upper,age,age_err_lower,age_err_upper,metallicity,metallicity_err_lower,metallicity_err_upper,dust,dust_err_lower,dust_err_upper
IC5332_cluster0001_row0000,0.00184,-3.085667750980803,7.475808309385876,7.475808309385876,5.22610001790428,0.12284796065851378,0.08140668600341083,0.5220597333552301,0.3248974202125726,0.32519589243062175,-0.5752816923614936,0.6394946104487367,0.6152302163023651,0.4147331791818668,0.05678981180034448,0.10890224233084234
IC5332_cluster0002_row0001,0.00184,-1.2391359998381641,2.523148767963087,2.523148767963087,5.485218457314007,0.12817486310866766,0.10742493797163011,0.49635149577077886,0.3199163324717619,0.3365171907598514,-0.6274537840213004,0.6007356045895225,0.6219425103415364,0.6130729034993632,0.07731982141672278,0.11949706926788684
IC5332_cluster0006_row0002,0.00184,-17.34960732646328,38.327133997533295,38.327133997533295,5.010958672469252,0.1629696497156763,0.1211656028109882,0.26434628143966576,0.1953037296476877,0.4151591107507073,-0.6287088487153845,0.5955898750675575,0.6179824837719988,0.4704029835704384,0.10144899140060581,0.14162399333809905
IC5332_cluster0008_row0003,0.00184,-13.983198256366325,29.172109955738904,29.172109955738904,4.867660984787953,0.19834577939338693,0.15311095180025003,0.19658439035978495,0.15718046112259737,0.4324534090758465,-0.5600898090292881,0.6355095957543047,0.5851113312221815,0.43804903280410135,0.12029492144087567,0.1659621245779035
IC5332_cluster0010_row0004,0.00184,-26.368649748419454,631.0939479450792,631.0939479450792,5.44146451471208,0.1813706013261811,0.1267231849757673,0.2710436089914472,0.2144543855002084,0.4221913354352844,-0.5843029915992539,0.620440863362296,0.5975108259604699,0.8180552506691983,0.106810426532989,0.1719114132530325
IC5332_cluster0011_row0005,0.00184,-0.22717818219759695,0.4593413848535931,0.4593413848535931,4.42088612365219,0.15674654990986525,0.13655049167131672,0.2570314563549494,0.15624414774992418,0.18459872709210218,-0.6176915535140297,0.5838054137615867,0.6267986795361074,0.060215531999462224,0.044728733173768,0.09509362194570911
IC5332_cluster0012_row0006,0.00184,-10.836559006451763,22.534530983164643,22.534530983164643,4.795798539297707,0.1551503338824407,0.10982528728777208,0.37028693117936695,0.264190860978121,0.40365528145352414,-0.5753518173433965,0.6241163420635887,0.5868298322763611,0.26091540869383684,0.08235731657672238,0.131049061060531
IC5332_cluster0014_row0007,0.00184,-2.3557248529279824,4.802722600800217,4.802722600800217,4.73256946532097,0.15931725026220622,0.08713208054658583,0.5059098016152024,0.3580469768173203,0.34339576199619837,-0.6267910993654631,0.5944572841488247,0.626886622484294,0.16184642096044966,0.06031930905353364,0.12745312664489916
IC5332_cluster0019_row0008,0.00184,-10.040372496770049,23.90931046696811,23.90931046696811,5.149557088183915,0.15660061853903784,0.1080051473732393,0.3695094852417003,0.2620736396696392,0.4044184703215649,-0.5947087839487977,0.6036408259938035,0.5897038765364108,0.46280764315302136,0.0812738244413746,0.13392635951095344
IC5332_cluster0023_row0009,0.00184,-2.20411528333544,4.421710554572372,4.421710554572372,4.376921676986353,0.16606873731480754,0.13610146359039987,0.2316976340499746,0.14752881279682575,0.18312472912433322,-0.5912983351573331,0.6095541499246617,0.617918034474842,0.06314008380711147,0.04741844209102262,0.10407244790541681
