wavelength,obs_flux,obs_err,mod_flux
2704.0,1.1145628848704444e-06,1.2835677091306253e-07,9.241172348441173e-07
3355.0,1.1101400938012837e-06,1.299463078833335e-07,1.1786520736445359e-06
4325.0,1.947412797808543e-06,2.0560934703447807e-07,1.5594420641819719e-06
5308.0,1.994832611525737e-06,2.074071746705908e-07,1.9122402184645993e-06
8024.0,2.8096835636826304e-06,2.907563066016932e-07,2.619057311795414e-06
