wavelength,obs_flux,obs_err,mod_flux
3680.0,2.7898983300000003e-08,3.8805938e-08,3.839096487653616e-06
4760.0,6.317563880000001e-08,1.22457498e-08,1.1140369694133486e-05
6210.0,6.463385320000001e-08,1.3250772500000001e-08,1.5599366105895766e-05
7540.0,9.46064983e-08,2.3014956000000004e-08,1.8230574607373815e-05
8700.0,2.1943423530000002e-07,7.40308486e-08,1.921669844275584e-05
9710.0,1.51796656e-08,1.4088712970000002e-07,1.9747215157898536e-05
