object_id,redshift,log_likelihood,chi2,chi2_red,mass,mass_err_lower,mass_err_upper,age,age_err_lower,age_err_upper,metallicity,metallicity_err_lower,metallicity_err_upper,dust,dust_err_lower,dust_err_upper
IC5332_cluster0001_row0000,0.00184,-3.7328161799103325,8.77560969771886,8.77560969771886,4.691856761979656,0.053600592294396954,0.04480476530147115,0.11502196204170059,0.025778365002676218,0.035603810288237475,-0.5725684510345074,0.6268906098770245,0.5896911763189017,1.4004039053101551,0.1393747245808612,0.0730636356920471
IC5332_cluster0002_row0001,0.00184,-3.278266333422179,7.178356016886923,7.178356016886923,4.381700945101404,0.09285029042427873,0.06695881864072817,0.8975680739001899,0.13617238035554557,0.07353028608043377,-0.596512548485092,0.6163429987766033,0.6158424691801848,1.2829364547287305,0.23163725314558836,0.15362785591158556
IC5332_cluster0006_row0002,0.00184,-0.03622547628098234,0.0750415035152809,0.0750415035152809,4.154874788628794,0.07438519066350047,0.09061597972682911,0.6116918079132688,0.16340233307546526,0.172273722742055,-0.5834733580642473,0.6288388774042137,0.60257070447348,0.3694982892894621,0.23802301527302708,0.27948614605763494
IC5332_cluster0008_row0003,0.00184,-1.3667150088927151,2.9873806173404756,2.9873806173404756,3.927095663689088,0.07116950779456932,0.08997213827333361,0.5028384799940513,0.1290282201240755,0.14403663251776588,-0.5713527737015787,0.6324900262109314,0.5912596299305983,0.25429242499514626,0.1785566940109296,0.2737520210762815
IC5332_cluster0010_row0004,0.00184,-8.011388361916481,353.12269919508714,353.12269919508714,4.41846996273855,0.06971283271876327,0.05287437155245023,0.8177947964507108,0.11487109948255325,0.11412976019153287,-0.5976468613388574,0.6179088591870766,0.6219344249408156,1.3342242819381498,0.18284257551161454,0.11904116802323128
IC5332_cluster0011_row0005,0.00184,-2.3064266930075528,4.81550114104791,4.81550114104791,3.4444085645965172,0.3686171543416963,0.17302338630596825,0.0310099568481004,0.021571917434494027,0.02746708727226909,-0.5390623873274225,0.6351119634143216,0.57751828452621,0.19222821031861775,0.13099448749832132,0.21889260010692863
IC5332_cluster0012_row0006,0.00184,-2.395406559370009,5.226243763457449,5.226243763457449,3.94895249568426,0.06833287212901196,0.07503188114657622,0.22310911035687117,0.07123199671499691,0.07225133732981978,-0.6036689846093288,0.610522158080818,0.6149187536090929,0.2944640458331227,0.1889249092730188,0.2612489849980246
IC5332_cluster0014_row0007,0.00184,-8.354640618125515,17.437903671321784,17.437903671321784,4.050049287233884,0.4601546888259622,0.15250780212046777,0.030659124217824588,0.02628281277839252,0.029124128180182653,-0.5912240964768294,0.6223103391458338,0.6022860815461502,0.895048375766922,0.18190395012992477,0.25699279033819866
IC5332_cluster0019_row0008,0.00184,-3.155975399242532,8.50017902878027,8.50017902878027,4.360097143017662,0.13061889452073672,0.08888289430141594,0.37020972262373875,0.14739933165657362,0.3862352230995757,-0.5790518410105374,0.6219489917000351,0.6041330623479482,0.9687161477819037,0.5187567844509278,0.30171146832623164
IC5332_cluster0023_row0009,0.00184,-2.7012074228049547,5.665036989690518,5.665036989690518,3.590121248248504,0.3048771914714812,0.14252511874704288,0.03702828806414961,0.023961135978892878,0.023757984109128806,-0.6320962977899475,0.5920435908057752,0.6234182706246361,0.16107629804385093,0.11266373859944193,0.19471819776830235
