wavelength,obs_flux,obs_err,mod_flux
2704.0,9.844038416797864e-08,4.922019208398933e-09,8.328949894209033e-08
3355.0,5.421300793829984e-08,2.710650396914992e-09,1.4715966392442844e-07
4325.0,4.955803560003807e-07,5.809281236957486e-08,2.840549622960404e-07
5308.0,8.436525469963366e-07,6.345180661279095e-08,4.6288054145478997e-07
8024.0,8.921211529319859e-07,7.846370633052766e-08,1.028480659803921e-06
