wavelength,obs_flux,obs_err,mod_flux
2704.0,4.680778480831654e-07,6.663656780264745e-08,3.0967576492419494e-07
3355.0,3.0932476791500205e-07,7.3975217780471e-08,4.154621214191608e-07
4325.0,1.071959515989079e-06,8.430556958722581e-08,1.0252968314811562e-06
5308.0,1.058641240591111e-06,7.596215704278389e-08,1.0795913667814618e-06
8024.0,1.2090943423063293e-06,8.820463240475675e-08,1.0933319358420235e-06
