object_id,redshift,log_likelihood,chi2,chi2_red,mass,mass_err_lower,mass_err_upper,age,age_err_lower,age_err_upper,metallicity,metallicity_err_lower,metallicity_err_upper
rubin_1651281746966115584,0.0,-249201.40878731434,1282196.6011269572,427398.8670423191,6.000000640310017,4.9163260840146e-07,1.0114679245276648e-06,13.499971416538562,5.475625349582458e-05,2.1410497048179877e-05,-0.7903818266606654,0.7841861137397174,0.8673275448934336
rubin_1651281746966115584,0.0,-958365.0320913452,2149599.9348946917,716533.3116315639,6.000000177043445,1.3384542452143933e-07,2.5264369973854173e-07,13.499991827850064,1.3797915007884853e-05,6.044257577997314e-06,-0.8236002987293469,0.8134856877007097,0.8752990135338883
rubin_1651281746966115584,0.0,-1376390.7015518718,2753952.97379755,917984.3245991833,6.000000113138368,8.45274525929085e-08,1.9585059707338814e-07,13.499994394176035,9.35584849770521e-06,4.241171001950761e-06,-0.799728285835434,0.8092244985546881,0.855979131150421
rubin_1651281746966115328,0.0,-1368844.5298514988,2744446.9217219087,914815.6405739696,6.000000123091368,9.217515284376532e-08,2.188355461285596e-07,13.499994029367647,1.000903634462702e-05,4.452308505875635e-06,-0.6450136118061569,0.9041260432585523,0.7763915909842274
rubin_1651281746966115328,0.0,-1371711.7312372436,2773605.6387140383,924535.2129046795,6.000000122359193,9.403100609262083e-08,2.0267586631206314e-07,13.499994438037412,1.0839431006104405e-05,4.056105291638801e-06,-0.7333262913921408,0.8566621513305279,0.8299176404941746
